"X","Y","E","N","CRS","s2tile","l89_path","l89_row"
92.8757515503154,53.8432143408991,491825,5966085,32646,"46UDE",141,23
-91.7481267647789,66.484600092799,555735,7374485,32615,"15WWP",34,13
139.163345076059,51.7675159589864,787235,5743385,32653,"53UQT",112,24
-59.4399641600209,77.5015829455866,585955,8605355,32620,"20XNM",29,4
-43.3964910435501,71.4381911457994,556965,7927025,32623,"23WNV",7,10
7.23080036725726,50.8029204502017,798075,5636445,32631,"31UGS",196,25
130.383237800345,65.0573180308991,565085,7215555,32652,"52WET",123,14
134.003205771679,-23.3320095203314,398095,7419375,32753,"53KLQ",102,76
39.4640502277607,-1.27702928726321,551625,9858845,32737,"37MEU",166,61
125.227148014681,-21.4194086160627,730855,7629795,32751,"51KYS",108,75
-30.3940857352328,80.70477029862,546975,8961305,32625,"25XEK",13,248
136.795907698366,48.8474700448436,631755,5412055,32653,"53UPQ",112,26
-81.9149832559444,67.7116722189518,461275,7511005,32617,"17WMR",29,12
-80.3689760892782,70.8827052275804,523065,7864435,32617,"17WNU",29,10
151.248412153617,66.4676854710271,689165,7378475,32655,"55WFP",109,13
-84.1477455291412,78.9225577463823,561155,8762825,32616,"16XEN",45,4
32.3743661372839,-18.5472269971767,433975,7949155,32736,"36KVE",169,73
151.231359878278,66.3751251262585,689105,7368125,32655,"55WFP",110,13
-24.2601592476414,75.1501860545596,578355,8342175,32626,"26XNJ",233,7
-86.6306457520299,81.988048278204,598915,9108945,32615,"15XWM",52,247
21.223168266895,62.7903886485789,511385,6962255,32634,"34VEQ",192,16
-68.457179412489,51.3464730305105,537805,5688495,32619,"19UES",13,24
18.1021163904111,50.9694979269107,717795,5651015,32633,"33UYS",189,25
-92.007324837196,66.4795513413527,544205,7373715,32615,"15WWP",34,13
130.300417784223,53.9238721308091,585395,5975835,32652,"52UEE",118,22
-76.4618814908421,81.9789026308687,570625,9105245,32617,"17XNM",45,247
123.958350176071,-29.7050278917732,592705,6713515,32751,"51JWH",108,81
128.336380798976,1.36654711891487,426175,151055,32652,"52NDG",109,59
-60.8765282739548,-36.108268915685,691135,6001955,32720,"20HPF",226,85
39.1536777739227,47.4954454291717,511575,5260235,32637,"37TEN",175,27
-102.229253597367,75.7215715664505,576255,8405905,32613,"13XEE",52,6
99.7080766270684,58.8601425104439,540845,6524695,32647,"47VNF",139,19
-101.752444091198,36.6217399812953,790425,4057825,32613,"13SGA",31,35
-35.3534723191421,78.0846692429551,583995,8670435,32624,"24XWM",13,4
-73.6347293201014,-10.0347478010023,649625,8890435,32718,"18LXP",5,67
-34.8756421052202,79.9587423426952,580215,8879825,32624,"24XWP",20,2
25.6008639846538,-13.4892732424932,348565,8508325,32735,"35LLF",174,69
15.9338362508859,50.3017181617098,566505,5572595,32633,"33UWR",190,25
-91.8254439604469,68.5814065989193,547865,7608145,32615,"15WWS",36,12
70.4785433303843,71.3250408310886,552835,7914295,32642,"42WWE",166,10
-94.9040264809174,73.2455353190591,438745,8128845,32615,"15XVB",43,8
-123.88175102466,64.4482945017797,457565,7147265,32610,"10WDS",53,15
121.85634322373,71.6614105245475,670375,7958025,32650,"50WPE",134,9
14.7973725528922,57.4356026658215,487835,6365895,32633,"33VVD",194,20
